Recording	Participant	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Partial	1	0	237	237			0.65108	0.46733	2.75544										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	1	237	287	50						160.64	154.19	244.41	7.97			0.65108	0.46733	0.36418	0.36654
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	2	287	537	250			0.36418	0.36654	2.76859										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	2	537	553	17						160.06	387.62	387.62	6.21			0.36418	0.36654	0.12702	0.28051
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	3	553	920	366			0.12702	0.28051	2.72497										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	3	920	953	33						242.05	46.2	53.74	1.44			0.12702	0.28051	0.0893	0.35161
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	4	953	1103	150			0.0893	0.35161	2.73173										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	4	1103	1153	50							87.83	169.94				0.0893	0.35161		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	5	1170	1186	17							38.08	38.08							
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	6	1203	1220	17							43.72	43.72						0.29726	0.40373
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	5	1220	1436	217			0.29726	0.40373	2.77376										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	7	1436	1453	17						21.53	49.11	49.11	1.37			0.29726	0.40373	0.33735	0.38791
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	6	1453	1769	316			0.33735	0.38791	2.75291										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	8	1769	1802	33						6.54	247.92	284.71	8.8			0.33735	0.38791	0.65727	0.35124
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	7	1802	2052	250			0.65727	0.35124	2.77053										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	9	2052	2086	33						152.55	73.66	78.76	2.68			0.65727	0.35124	0.57067	0.30626
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	8	2086	2219	133			0.57067	0.30626	2.82436										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	10	2219	2285	67						183.83	192.17	457.73	13.11			0.57067	0.30626	0.09292	0.33825
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	9	2285	2435	150			0.09292	0.33825	2.8142										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	11	2435	2452	17						179.23	31.14	31.14	0.66			0.09292	0.33825	0.06821	0.33792
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	10	2452	3218	766			0.06821	0.33792	2.81776										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	12	3218	3285	67						2.2	220.95	325.28	15.23			0.06821	0.33792	0.63505	0.31619
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	11	3285	3418	133			0.63505	0.31619	2.91938										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	13	3418	3451	33						163.74	65.92	92.4	2.26			0.63505	0.31619	0.56098	0.29458
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	12	3451	3734	283			0.56098	0.29458	2.88081										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	14	3734	3784	50						186.41	268.6	654.41	12.86			0.56098	0.29458	0.07321	0.34942
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	13	3784	4967	1182			0.07321	0.34942	2.9285										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	15	4967	4984	17						95.86	88.22	88.22	1.92			0.07321	0.34942	0.05958	0.21647
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	14	4984	5117	133			0.05958	0.21647	2.97211										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	16	5117	5150	33						276.44	51.2	71.57	1.61			0.05958	0.21647	0.07226	0.32893
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	15	5150	5417	266			0.07226	0.32893	2.98839										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	17	5417	5450	33						3.22	383.04	720.14	13.22			0.07226	0.32893	0.5626	0.30134
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	16	5450	5733	283			0.5626	0.30134	2.99087										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	18	5733	5783	50						187.7	266.23	687.19	13.08			0.5626	0.30134	0.06725	0.36828
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	17	5783	6183	400			0.06725	0.36828	2.99076										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	19	6183	6233	50						5.36	267.91	392.37	13.3			0.06725	0.36828	0.56025	0.32201
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	18	6233	6699	466			0.56025	0.32201	2.96357										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	20	6699	6716	17						113.04	50.35	50.35	0.83			0.56025	0.32201	0.55061	0.29934
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	19	6716	7032	316			0.55061	0.29934	2.92763										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	21	7032	7049	17							39.83	39.83				0.55061	0.29934		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	22	7065	7082	17							40.72	40.72						0.55811	0.32382
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	20	7082	7732	650			0.55811	0.32382	3.00196										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	23	7732	7748	17						347.55	45.98	45.98	1.51			0.55811	0.32382	0.59347	0.33162
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	21	7748	8065	316			0.59347	0.33162	3.0304										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	24	8065	8081	17						124.78	37.06	37.06	1.02			0.59347	0.33162	0.55953	0.28276
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	22	8081	8331	250			0.55953	0.28276	3.02155										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	25	8331	8348	17						310.11	38.02	38.02	1.12			0.55953	0.28276	0.60027	0.33111
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	23	8348	8764	416			0.60027	0.33111	3.02542										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	26	8764	8781	17							506.65	506.65				0.60027	0.33111		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Partial	24	8814	8964	150			0.18026	0.35244	3.07581										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	27	8964	8981	17						180.79	120.43	120.43	2.73			0.18026	0.35244	0.07752	0.35387
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	25	8981	9197	217			0.07752	0.35387	3.06539										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	28	9197	9214	17						265.16	172.76	172.76	3.47			0.07752	0.35387	0.05789	0.58543
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	26	9214	9747	533			0.05789	0.58543	3.02262										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	29	9747	9797	50							260	703.33				0.05789	0.58543		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	30	9813	9847	33							110.84	148.37						0.65861	0.50635
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	27	9847	9963	117			0.65861	0.50635	3.13882										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	31	9963	10013	50						215.97	57.19	87.01	2.96			0.65861	0.50635	0.55725	0.57992
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	28	10013	10197	183			0.55725	0.57992	3.09371										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	32	10197	10213	17						305.92	57	57	1.31			0.55725	0.57992	0.59524	0.63237
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	29	10213	10430	217			0.59524	0.63237	3.04884										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	33	10430	10480	50						186.44	219.69	290.71	11.33			0.59524	0.63237	0.19287	0.6778
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	30	10480	10596	117			0.19287	0.6778	2.99892										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	34	10596	10630	33						188.5	75.05	84.08	2.92			0.19287	0.6778	0.08854	0.69339
