Stimuli,Fixation Duration,Description,Complexity Ranking
Venedig (71),29657.825,color,1
Venedig (71),33252.275,gray,1
Göteborg (72),14277.2,color,2
Göteborg (72),20137.75,gray,2
Hong_Kong (94),10902.75,color,3
Hong_Kong (94),12424.425,gray,3
Ljubljana (97),24885.824999999997,color,4
Ljubljana (97),27368.625,gray,4
Antwerpen (100),8984.1,color,5
Antwerpen (100),11838.15,gray,5
Krakau (101),36748.275,color,6
Krakau (101),50532.575,gray,6
Frankfurt (113),16792.775,color,7
Frankfurt (113),19652.22894736842,gray,7
Hamburg (121),8848.974999999999,color,8
Hamburg (121),10598.349999999999,gray,8
Bordeaux (123),12564.900000000001,color,9
Bordeaux (123),11819.15,gray,9
Warschau (124),24250.375,color,10
Warschau (124),28061.0,gray,10
Düsseldorf (128),10151.6,color,11
Düsseldorf (128),14064.625,gray,11
Pisa (129),28693.675000000003,color,12
Pisa (129),37142.65,gray,12
Bologna (131),32534.824999999997,color,13
Bologna (131),44987.675,gray,13
Riga (132),32073.725,color,14
Riga (132),42791.425,gray,14
Köln (134),26060.475,color,15
Köln (134),29990.550000000003,gray,15
Moskau (150),22296.175000000003,color,16
Moskau (150),27043.05,gray,16
Zürich (158),13713.6,color,17
Zürich (158),16957.375,gray,17
Barcelona (168),13316.550000000001,color,18
Barcelona (168),14405.150000000001,gray,18
Brüssel (179),24125.324999999997,color,19
Brüssel (179),25090.8,gray,19
Berlin (208),13533.150000000001,color,20
Berlin (208),12810.325,gray,20
Tokyo (211),11933.3,color,21
Tokyo (211),21215.925,gray,21
Budapest (223),26852.325,color,22
Budapest (223),33844.45,gray,22
Paris (308),15508.175,color,23
Paris (308),18976.4,gray,23
New_York (314),17635.825,color,24
New_York (314),23644.2,gray,24
