StimuliName,user,FixationDuration,count
01_Antwerpen_S1.jpg,p1,4097,14
01_Antwerpen_S1.jpg,p12,5578,20
01_Antwerpen_S1.jpg,p13,6294,23
01_Antwerpen_S1.jpg,p16,6244,28
01_Antwerpen_S1.jpg,p17,7359,25
01_Antwerpen_S1.jpg,p20,6725,24
01_Antwerpen_S1.jpg,p21,10691,29
01_Antwerpen_S1.jpg,p24,4346,15
01_Antwerpen_S1.jpg,p25,6213,22
01_Antwerpen_S1.jpg,p28,10508,43
01_Antwerpen_S1.jpg,p29,9224,33
01_Antwerpen_S1.jpg,p32,7444,28
01_Antwerpen_S1.jpg,p33,3612,14
01_Antwerpen_S1.jpg,p36,5360,21
01_Antwerpen_S1.jpg,p37,10142,33
01_Antwerpen_S1.jpg,p4,5878,23
01_Antwerpen_S1.jpg,p40,9754,42
01_Antwerpen_S1.jpg,p5,5361,23
01_Antwerpen_S1.jpg,p8,4412,17
01_Antwerpen_S1.jpg,p9,7043,26
01_Antwerpen_S2.jpg,p10,10857,38
01_Antwerpen_S2.jpg,p11,37081,114
01_Antwerpen_S2.jpg,p14,9239,31
01_Antwerpen_S2.jpg,p15,16802,41
01_Antwerpen_S2.jpg,p18,12257,41
01_Antwerpen_S2.jpg,p19,6093,23
01_Antwerpen_S2.jpg,p2,16197,54
01_Antwerpen_S2.jpg,p22,16022,37
01_Antwerpen_S2.jpg,p23,5596,26
01_Antwerpen_S2.jpg,p26,7793,20
01_Antwerpen_S2.jpg,p27,7361,20
01_Antwerpen_S2.jpg,p3,5960,20
01_Antwerpen_S2.jpg,p30,4028,17
01_Antwerpen_S2.jpg,p31,3532,17
01_Antwerpen_S2.jpg,p34,15136,47
01_Antwerpen_S2.jpg,p35,12558,36
01_Antwerpen_S2.jpg,p38,10723,40
01_Antwerpen_S2.jpg,p39,12641,37
01_Antwerpen_S2.jpg,p6,4312,14
01_Antwerpen_S2.jpg,p7,8891,26
01b_Antwerpen_S1.jpg,p10,16704,45
01b_Antwerpen_S1.jpg,p11,7011,19
01b_Antwerpen_S1.jpg,p14,16271,59
01b_Antwerpen_S1.jpg,p15,35117,107
01b_Antwerpen_S1.jpg,p18,12689,48
01b_Antwerpen_S1.jpg,p19,7525,29
01b_Antwerpen_S1.jpg,p2,17135,42
01b_Antwerpen_S1.jpg,p22,12738,35
01b_Antwerpen_S1.jpg,p23,8590,38
01b_Antwerpen_S1.jpg,p26,9407,23
01b_Antwerpen_S1.jpg,p27,10538,31
01b_Antwerpen_S1.jpg,p3,8957,30
01b_Antwerpen_S1.jpg,p30,6063,25
01b_Antwerpen_S1.jpg,p31,5326,23
01b_Antwerpen_S1.jpg,p34,7861,24
01b_Antwerpen_S1.jpg,p35,29956,87
01b_Antwerpen_S1.jpg,p38,13106,37
01b_Antwerpen_S1.jpg,p39,41123,110
01b_Antwerpen_S1.jpg,p6,5727,24
01b_Antwerpen_S1.jpg,p7,7192,20
01b_Antwerpen_S2.jpg,p1,10570,33
01b_Antwerpen_S2.jpg,p12,7223,23
01b_Antwerpen_S2.jpg,p13,6946,26
01b_Antwerpen_S2.jpg,p16,11140,36
01b_Antwerpen_S2.jpg,p17,10176,32
01b_Antwerpen_S2.jpg,p20,7644,28
01b_Antwerpen_S2.jpg,p21,6761,25
01b_Antwerpen_S2.jpg,p24,5211,20
01b_Antwerpen_S2.jpg,p25,7693,20
01b_Antwerpen_S2.jpg,p28,10312,29
01b_Antwerpen_S2.jpg,p29,18367,65
01b_Antwerpen_S2.jpg,p32,9123,29
01b_Antwerpen_S2.jpg,p33,7309,32
01b_Antwerpen_S2.jpg,p36,10974,37
01b_Antwerpen_S2.jpg,p37,21331,73
01b_Antwerpen_S2.jpg,p4,5446,24
01b_Antwerpen_S2.jpg,p40,6643,27
01b_Antwerpen_S2.jpg,p5,9892,35
01b_Antwerpen_S2.jpg,p8,6994,22
01b_Antwerpen_S2.jpg,p9,14735,57
02_Berlin_S1.jpg,p1,2564,9
02_Berlin_S1.jpg,p12,8893,27
02_Berlin_S1.jpg,p13,8027,34
02_Berlin_S1.jpg,p16,24313,82
02_Berlin_S1.jpg,p17,13271,42
02_Berlin_S1.jpg,p20,8995,38
02_Berlin_S1.jpg,p21,6961,22
02_Berlin_S1.jpg,p24,6410,19
02_Berlin_S1.jpg,p25,8741,26
02_Berlin_S1.jpg,p28,18036,60
02_Berlin_S1.jpg,p29,7823,30
02_Berlin_S1.jpg,p32,6711,20
02_Berlin_S1.jpg,p33,12890,38
02_Berlin_S1.jpg,p36,6795,24
02_Berlin_S1.jpg,p37,7741,28
02_Berlin_S1.jpg,p4,8644,35
02_Berlin_S1.jpg,p40,4697,22
02_Berlin_S1.jpg,p5,6378,27
02_Berlin_S1.jpg,p8,6613,21
02_Berlin_S1.jpg,p9,6459,21
02_Berlin_S2.jpg,p10,13222,37
02_Berlin_S2.jpg,p11,8312,21
02_Berlin_S2.jpg,p14,43978,134
02_Berlin_S2.jpg,p15,36659,95
02_Berlin_S2.jpg,p18,22368,74
02_Berlin_S2.jpg,p19,20168,63
02_Berlin_S2.jpg,p2,16867,57
02_Berlin_S2.jpg,p22,8077,20
02_Berlin_S2.jpg,p23,13602,50
02_Berlin_S2.jpg,p26,9659,19
02_Berlin_S2.jpg,p27,10875,36
02_Berlin_S2.jpg,p3,10655,34
02_Berlin_S2.jpg,p30,23613,76
02_Berlin_S2.jpg,p31,5995,15
02_Berlin_S2.jpg,p34,20664,65
02_Berlin_S2.jpg,p35,42077,146
02_Berlin_S2.jpg,p38,15238,56
02_Berlin_S2.jpg,p39,19634,50
02_Berlin_S2.jpg,p6,12491,34
02_Berlin_S2.jpg,p7,6210,19
02b_Berlin_S1.jpg,p10,8061,30
02b_Berlin_S1.jpg,p11,8494,26
02b_Berlin_S1.jpg,p14,7058,26
02b_Berlin_S1.jpg,p15,26462,87
02b_Berlin_S1.jpg,p18,12935,51
02b_Berlin_S1.jpg,p19,9891,29
02b_Berlin_S1.jpg,p2,6444,20
02b_Berlin_S1.jpg,p22,8924,22
02b_Berlin_S1.jpg,p23,14837,56
02b_Berlin_S1.jpg,p26,16118,43
02b_Berlin_S1.jpg,p27,12491,40
02b_Berlin_S1.jpg,p3,10060,33
